,SERRINHA,FAZENDAVISTAALEGRE,CARACARAI,OBIDOS_PORTO,ALTAMIRA,PORTOVELHO,MANACAPURU,ITAPEUA,NAZARATH,TABATINGA
1991-07-16 00:00:00,386836900.0,7064517600.0,294364700.0,27772290000.0,,9554038000.0,21323053000.0,20760400000.0,21249266000.0,21249266000.0
1991-08-16 00:00:00,574781500.0,3577365000.0,246654690.0,15350259000.0,,2916290600.0,10756047000.0,11020073000.0,9488193000.0,9488193000.0
1991-09-15 12:00:00,347705400.0,2733856000.0,131713920.0,6417345000.0,,6198117000.0,4166006300.0,4180680400.0,4079572200.0,4079572200.0
1991-10-16 00:00:00,210010510.0,4579795000.0,43381616.0,13690884000.0,,7221903000.0,10594999000.0,11753277000.0,15136140000.0,15136140000.0
1991-11-15 12:00:00,137753550.0,12166878000.0,24669926.0,18100636000.0,,15081938000.0,9092877000.0,10199822000.0,18509736000.0,18509736000.0
1991-12-16 00:00:00,131526380.0,12071658000.0,14707294.0,26672940000.0,,16215388000.0,17708683000.0,18317562000.0,22986471000.0,22986471000.0
1992-01-16 00:00:00,194551950.0,28610324000.0,18634016.0,38086540000.0,,38595084000.0,17159918000.0,17929658000.0,25105422000.0,25105422000.0
1992-02-15 00:00:00,41999804.0,20287273000.0,7337355.0,27352520000.0,,24549495000.0,7570736000.0,7551908400.0,10237531000.0,10237531000.0
1992-03-16 00:00:00,71422490.0,38262178000.0,11541896.0,50091565000.0,,32740426000.0,15253131000.0,16301183000.0,26111308000.0,26111308000.0
1992-04-15 12:00:00,122504080.0,20037540000.0,7845142.5,38198990000.0,,20131529000.0,19195363000.0,19783606000.0,29348397000.0,29348397000.0
1992-05-16 00:00:00,200424960.0,10319030000.0,17618162.0,29879087000.0,,10077741000.0,20359963000.0,21063993000.0,19920933000.0,19920933000.0
1992-06-15 12:00:00,291281380.0,33339847000.0,38531344.0,35376247000.0,,40821596000.0,10893907000.0,11786518000.0,14883871000.0,14883871000.0
1992-07-16 00:00:00,245852820.0,33233990000.0,82091530.0,44243760000.0,,37620703000.0,10201227000.0,10397992000.0,13708596000.0,13708596000.0
1992-08-16 00:00:00,199289070.0,10245817000.0,106061520.0,19395120000.0,,16719514000.0,7948481500.0,7734827000.0,5517117000.0,5517117000.0
1992-09-15 12:00:00,298782530.0,15317281000.0,38504956.0,22436280000.0,,14311695000.0,10621208000.0,11545586000.0,16766096000.0,16766096000.0
1992-10-16 00:00:00,105072690.0,17916238000.0,14727224.0,24168915000.0,,24577786000.0,8374820000.0,8812097000.0,14337597000.0,14337597000.0
1992-11-15 12:00:00,125316936.0,15588439000.0,10782682.0,22225870000.0,,21865673000.0,9742757000.0,9980489000.0,14312780000.0,14312780000.0
1992-12-16 00:00:00,252645440.0,25575565000.0,13120378.0,45368560000.0,,23382047000.0,24830353000.0,26748715000.0,36245697000.0,36245697000.0
1993-01-16 00:00:00,243210800.0,31880577000.0,7409790.0,44914560000.0,,36973736000.0,19081402000.0,19495135000.0,29812337000.0,29812337000.0
1993-02-14 12:00:00,65845944.0,36558377000.0,5622713.5,73954940000.0,,34086260000.0,43073217000.0,46955725000.0,65848803000.0,65848803000.0
1993-03-16 00:00:00,114108440.0,27762354000.0,9053869.0,81972890000.0,,31816624000.0,60818584000.0,61724290000.0,87757430000.0,87757430000.0
1993-04-15 12:00:00,198125890.0,41314267000.0,13577885.0,122469580000.0,,40956764000.0,86528400000.0,89907160000.0,104959370000.0,104959370000.0
1993-05-16 00:00:00,267511860.0,21193583000.0,130173490.0,78388080000.0,,23665641000.0,57005300000.0,57012216000.0,54920495000.0,54920495000.0
1993-06-15 12:00:00,292519070.0,26276380000.0,156739360.0,60759580000.0,,27024826000.0,36895957000.0,38103286000.0,43311964000.0,43311964000.0
1993-07-16 00:00:00,556038800.0,7966332400.0,192753740.0,26041088000.0,,7839709700.0,17317413000.0,17459667000.0,19469025000.0,19469025000.0
1993-08-16 00:00:00,336470820.0,9554164000.0,129004900.0,22432172000.0,,13837281000.0,13319675000.0,13229773000.0,15463367000.0,15463367000.0
1993-09-15 12:00:00,112583990.0,13018846000.0,72566110.0,24127197000.0,,15907899000.0,13329682000.0,13915738000.0,12970584000.0,12970584000.0
1993-10-16 00:00:00,116032350.0,7912011000.0,38646810.0,21911622000.0,,12520321000.0,16583185000.0,17588030000.0,23796050000.0,23796050000.0
1993-11-15 12:00:00,284302850.0,23950074000.0,49979868.0,41349136000.0,,27754883000.0,24515207000.0,27358118000.0,43850363000.0,43850363000.0
1993-12-16 00:00:00,377152160.0,27539773000.0,49216524.0,67813720000.0,,35218706000.0,52378448000.0,57405526000.0,86822490000.0,86822490000.0
1994-01-16 00:00:00,92814000.0,47567524000.0,13930345.0,122188220000.0,,51771335000.0,81795350000.0,82805000000.0,96349090000.0,96349090000.0
1994-02-14 12:00:00,65161104.0,31789994000.0,9170204.0,87937630000.0,,29988665000.0,58566304000.0,60123386000.0,71377625000.0,71377625000.0
1994-03-16 00:00:00,155325490.0,38628385000.0,36691430.0,98220230000.0,,42598728000.0,63690260000.0,64351550000.0,81035846000.0,81035846000.0
1994-04-15 12:00:00,379841570.0,31645082000.0,13625864.0,107423370000.0,,32264890000.0,82207240000.0,85430120000.0,99934130000.0,99934130000.0
1994-05-16 00:00:00,132702270.0,24189776000.0,52804160.0,80033850000.0,,25816023000.0,58297197000.0,59179460000.0,64052494000.0,64052494000.0
1994-06-15 12:00:00,293096400.0,11273886000.0,98574400.0,47791546000.0,,12852700000.0,35736560000.0,35665930000.0,36814447000.0,36814447000.0
1994-07-16 00:00:00,425376740.0,7521426400.0,198867380.0,30743843000.0,,7778386000.0,22487908000.0,22823901000.0,25069097000.0,25069097000.0
1994-08-16 00:00:00,312752640.0,4547068000.0,176691090.0,16358279000.0,,5265300000.0,10770293000.0,10665329000.0,12608884000.0,12608884000.0
1994-09-15 12:00:00,547366000.0,1984403500.0,117637930.0,11974108000.0,,2197583000.0,9431702000.0,9681673000.0,9149524000.0,9149524000.0
1994-10-16 00:00:00,334799940.0,3879073800.0,60924560.0,13111390000.0,,7186171000.0,10704418000.0,11242079000.0,15122513000.0,15122513000.0
1994-11-15 12:00:00,289452540.0,15193400000.0,53569996.0,29269768000.0,,21568936000.0,20613421000.0,22992320000.0,37988560000.0,37988560000.0
